,Name,Sex,Event,Equipment,Age,AgeClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Wilks,McCulloch,Glossbrenner,IPFPoints,Tested,Country,Federation,Date,MeetCountry,MeetState,MeetName
692083,Hayden Fulwood,M,SBD,Raw,18.0,18-19,MR-T3,88.0,90,,,,,167.5,,,,,122.5,,,,,227.5,517.5,1,334.25,354.31,322.27,482.79,Yes,USA,USAPL,2013-04-27,USA,AL,S.E HS State Wars
621012,Jozef Slimák,M,B,Multi-ply,46.0,45-49,M-M2,82.2,82.5,,,,,,165.0,180.0,-190.0,,180.0,,,,,,180.0,1,120.85,129.06,116.68,571.78,,Slovakia,WPC,2012-11-06,USA,NV,World Championships
164449,Chase Garrett,M,D,Raw,,13-15,Teenage 13-15,44.0,44,,,,,,,,,,,,,,,70.31,70.31,1,83.29,98.28,82.94,212.28,,,SPF,2008-12-06,USA,,Body by George Classic
353419,Edgar Rodea,M,SBD,Single-ply,,,Boys,92.9,99.7,,,,,204.12,,,,,129.27,,,,,185.97,519.36,1,326.42,326.42,314.34,420.04,Yes,,THSPA,2017-01-28,USA,TX,Santo Meet
128144,K. Kaufman,M,B,Raw,,,Open,90.0,90,,,,,,,,,,145.15,,,,,,145.15,6,92.66,92.66,89.3,558.46,,,USPF,1979-12-08,USA,ND,3rd Annual Midwestern Bench Press Championships
503778,Jason Carrillo,M,SBD,Single-ply,,,Boys,105.51,109.7,,,,,127.01,,,,,83.91,,,,,129.27,340.19,4,202.94,202.94,194.7,276.23,Yes,,THSPA,2016-01-23,USA,TX,Wildcat Invitational 2
597960,Robin James,M,BD,Single-ply,,,p+f,148.23,140+,,,,,,,,,,202.5,,,,,267.5,470.0,1,260.48,260.48,246.21,,Yes,,NASA,2006-08-04,USA,OK,World Cup Championships
1380291,Norma Nieves,F,SBD,Single-ply,44.5,40-44,Open,84.57,84+,210.0,225.0,-237.5,,225.0,125.0,135.0,145.0,,145.0,-195.0,195.0,-205.0,,195.0,565.0,1,502.15,523.74,438.78,647.35,Yes,Puerto Rico,NAPF,2016-08-15,US Virgin Islands,,North American Powerlifting Championships
585515,Børre Borgersen,M,B,Single-ply,51.5,50-54,Masters 50-59,93.21,105,,,,,,145.0,-212.5,-220.0,,145.0,,,,,,145.0,1,90.99,104.37,87.61,455.93,Yes,Norway,NSF,2015-10-03,Norway,,RM Benkpress
122973,J. Beckham,M,B,Single-ply,,,Masters 40-44,100.0,100,,,,,,,,,,152.5,,,,,,152.5,1,92.81,92.81,89.2,454.29,,,USPF,1993-05-14,USA,TX,Masters Nationals
1017084,Olavi Rintanen,M,SBD,Single-ply,32.5,24-34,Open,100.0,100,,,,,280.0,,,,,180.0,,,,,317.5,777.5,2,473.18,473.18,454.76,577.51,Yes,Finland,SVNL,1988-02-26,Finland,,Miesten voimanoston SM-kisat
254420,Joseph Gaylon,M,SBD,Single-ply,,,Boys,96.62,99.7,,,,,190.51,,,,,136.08,,,,,195.04,521.63,12,322.04,322.04,309.81,412.92,Yes,,THSPA,2014-02-22,USA,TX,Lytle
782799,Anne Lehtokoski,F,SBD,Single-ply,,,Open,82.5,82.5,,,,,155.0,,,,,70.0,,,,,175.0,400.0,3,359.99,359.99,315.11,494.32,Yes,Finland,EPF,1984-12-01,France,,Women's European Powerlifting Championships
823866,Jennifer Grady,F,SBD,Raw,42.0,40-44,Masters 40-44,58.9,60,,,,,82.5,,,,,37.5,,,,,105.0,225.0,1,254.48,259.57,224.91,394.16,,,USPA,2017-03-25,USA,FL,Bending the Bar Volume 1
1199267,Dave van Brocklin,M,B,Raw,60.5,60-64,M 60-64,125.0,125,,,,,,,,,,137.5,,,,,,137.5,1,78.35,104.99,74.63,434.27,,USA,APC,2009-10-24,USA,GA,Americas Cup
872883,Israel Irizarry,M,SBD,Raw,22.0,20-23,Open,109.72,110,,,,,190.0,,,,,140.0,,,,,205.0,535.0,8,315.09,318.24,301.86,435.17,,,USPA,2014-01-11,USA,CA,Camp Pendleton Open
1398692,Nick Russo,M,SBD,Wraps,,20-23,Amateur Juniors 20-23,73.12,75,,,,,185.97,,,,,113.4,,,,,226.8,526.17,1,381.73,381.73,369.47,562.13,Yes,,RPS,2015-03-21,USA,NY,Dominion
196457,Stephen Burton,M,SBD,Single-ply,,,Open,87.6,90,145.0,155.0,162.5,,162.5,-105.0,110.0,-115.0,,110.0,200.0,220.0,-230.0,,220.0,492.5,6,318.88,318.88,307.48,414.32,Yes,,PA,2008-11-30,Australia,QLD,South East Challenge
369316,Jake Williams #5,M,SBD,Single-ply,,,Boys,83.28,89.8,,,,,158.76,,,,,117.93,,,,,181.44,458.13,4,305.19,305.19,294.58,400.69,Yes,,THSPA,2015-01-24,USA,TX,Lone Oak Meet
351854,Dylan Haralson,M,SBD,Single-ply,,,Boys,65.68,67.1,,,,,231.33,,,,,90.72,,,,,222.26,544.31,1,429.11,429.11,416.6,539.12,Yes,,THSPA,2013-02-02,USA,TX,Riesel Invitational
416298,Tristan Johansen,M,SBD,Single-ply,,,Boys,121.2,124.7,,,,,142.88,,,,,68.04,,,,,136.08,347.0,6,199.04,199.04,189.87,262.93,Yes,,THSPA,2016-01-16,USA,TX,Bosqueville Invitational
1176327,Victoria Stanford,F,SBD,Single-ply,,,Girls,97.07,100,,,,,115.67,,,,,47.63,,,,,117.93,281.23,2,236.31,236.31,203.75,362.66,Yes,,THSWPA,2019-01-25,USA,TX,Abilene Cooper Invitational
28561,Oleksandr Daragan,M,SBD,Single-ply,50.5,50-54,Masters 2,97.9,105,,,,,130.0,,,,,125.0,,,,,160.0,415.0,1,254.77,287.89,245.01,337.61,Yes,,UkrainePF,2015-02-23,Ukraine,,Ukrainian Masters Powerlifting & Bench Press Championship
225841,Vasily Chernyshenko,M,B,Raw,48.5,45-49,O,120.3,125,,,,,,152.5,160.0,-165.0,,160.0,,,,,,160.0,3,91.93,100.85,87.73,515.91,,Russia,WPA-RUS,2012-05-07,Russia,,Russian BP and DL Championships
737641,Jacob McCoy,M,SBD,Raw,23.5,24-34,MR-O,79.4,83,-125.0,142.5,165.0,,165.0,102.5,-120.0,120.0,,120.0,190.0,-200.0,-227.5,,190.0,475.0,10,325.83,325.83,314.8,469.38,Yes,,USAPL,2017-03-18,USA,WA,Washington State Championships
1059815,Lydia Louarduzzi,F,SBD,Single-ply,41.5,40-44,Masters 1,56.1,67.5,,,,,125.0,,,,,65.0,,,,,135.0,325.0,9,381.86,385.68,337.76,484.97,Yes,France,IPF,2000-10-17,Czechia,,World Masters Powerlifting Championships
1357114,Amanda Quatrochi,F,B,Multi-ply,14.0,13-15,FTX,54.4,56,,,,,,-62.5,-62.5,,,,,,,,,,DQ,,,,,,,UPA,2007-09-01,USA,IA,Bench Bash For Cash on the MS
33905,Olena Kirchak,F,SBD,Single-ply,17.5,18-19,Open,52.0,52,-70.0,70.0,-77.5,,70.0,30.0,35.0,-40.0,,35.0,-70.0,70.0,,,70.0,175.0,2,218.16,231.25,193.38,316.56,Yes,,UkrainePF,1999-12-04,Ukraine,,Crimean Powerlifting Cup
866962,Tim Sparkes,M,D,Single-ply,47.0,45-49,Open,105.91,110,,,,,,,,,,,,,,,-320.0,,DQ,,,,,,USA,USPA,2014-09-19,USA,NV,Mr Olympia Powerlifting Benchpress and Deadlift Invitational
1084991,Auntum Williams,F,SBD,Single-ply,,,Girls,68.04,75,,,,,90.72,,,,,45.36,,,,,72.57,208.65,15,211.74,211.74,186.76,327.22,Yes,,THSWPA,2018-01-12,USA,TX,Sulphur Springs
273953,Victor Aguilar,M,SBD,Single-ply,,,Boys,87.72,89.8,,,,,219.99,,,,,129.27,,,,,,,DQ,,,,,Yes,,THSPA,2012-01-28,USA,TX,Greyhound Invitational
969560,Mikhail Nikolaev,M,SBD,Single-ply,29.5,24-34,Open,79.7,82.5,,,,,262.5,,,,,190.0,,,,,252.5,705.0,2,482.45,482.45,466.08,600.14,Yes,Russia,FPR,2007-01-26,Russia,,St. Petersburg Powerlifting Championships
31720,Vasyl' Dius,M,SBD,Single-ply,17.5,18-19,Sub-Juniors,104.45,105,,,,,190.0,,,,,147.5,,,,,200.0,537.5,4,321.78,341.09,308.83,407.12,Yes,Ukraine,UkrainePF,2014-02-03,Ukraine,,Ukrainian Sub-Juniors Powerlifting Championship
188228,Ellen Stein,F,SBD,Single-ply,47.0,45-49,Open,58.65,60,,,,,155.0,,,,,82.5,,,,,182.5,420.0,3,476.61,515.69,421.24,585.2,Yes,USA,USAPL,2001-01-20,USA,IN,Women's National Powerlifting Championships
1417267,Patty Zannini,F,SBD,Raw,56.5,55-59,Amateur Open,54.43,56,,,,,81.65,,,,,40.82,,,,,120.2,242.67,1,291.96,363.78,258.42,442.36,Yes,,RPS,2016-10-08,USA,MA,20th Annual Power Challenge
1235513,Anna Sokolov,F,SBD,Wraps,36.5,35-39,O,67.2,67.5,150.0,160.0,170.0,,170.0,60.0,65.0,67.5,,67.5,150.0,160.0,-162.5,,160.0,397.5,1,407.0,407.0,359.06,669.35,,Israel,GPC,2016-09-18,Serbia,,World Championships
573140,Vidar Alexander Ringvold,M,SBD,Single-ply,57.5,55-59,Masters 50-59,112.1,120,160.0,172.5,,,172.5,217.5,-227.5,-227.5,,217.5,150.0,160.0,,,160.0,550.0,1,321.85,408.11,308.08,401.06,Yes,Norway,NSF,2013-02-09,Norway,,RM Hedmark/Oppland
1262548,Darya Goretska,F,SBD,Wraps,20.5,20-23,Amateur Open,59.1,60,-120.0,120.0,-130.0,,120.0,-57.5,57.5,60.0,,60.0,100.0,-110.0,-110.0,,100.0,280.0,2,315.85,322.17,279.13,495.45,,Ukraine,WPA,2016-06-10,Ukraine,,World Cup
261840,Tom Rivera,M,SBD,Single-ply,,,Boys,174.63,124.7+,,,,,158.76,,,,,117.93,,,,,167.83,444.52,1,240.4,240.4,224.98,276.29,Yes,,THSPA,2013-01-31,USA,TX,C-City Wolves Invitational
753723,Justin Collins,M,SBD,Raw,31.5,24-34,MR-O,161.0,120+,-227.5,-227.5,-227.5,,,185.0,195.0,-202.5,,195.0,237.5,250.0,-262.5,,250.0,,DQ,,,,,Yes,,USAPL,2016-07-30,USA,OH,Ohio State Championship
1003567,Jenna Pitkänen,F,SBD,Raw,18.5,18-19,Under 23,50.4,52,50.0,55.0,-60.0,,55.0,40.0,-42.5,-42.5,,40.0,60.0,70.0,75.0,,75.0,170.0,1,217.07,225.75,192.67,309.24,Yes,,SVNL,2014-09-27,Finland,,Jäsentenvälinen klassinen voimanosto
852146,Alvin Waldon,M,B,Single-ply,49.0,45-49,Open,110.0,110,,,,,,,,,,,,,,,,,DQ,,,,,,USA,USPF,2000-11-11,USA,CA,USA National Powerlifting and Bench Press Championships
949824,Tatyana Koroleva,F,SBD,Single-ply,23.5,24-34,Open,47.5,48,,,,,162.5,,,,,80.0,,,,,165.0,407.5,3,543.86,543.86,484.43,628.59,Yes,Russia,FPR,2010-02-15,Russia,,Russian Powerlifting Championships
1152244,Kaley Hudson,F,SBD,Single-ply,,,Girls,56.02,56,,,,,90.72,,,,,49.9,,,,,117.93,258.55,8,304.13,304.13,269.01,407.12,Yes,,THSWPA,2019-02-07,USA,TX,Paris Wildcat Invitational
634881,Pete Bennett,M,SBD,Raw,78.0,75-79,Masters 51+,88.2,90,,,,,155.0,,,,,92.5,,,,,172.5,420.0,2,270.95,531.34,261.22,375.26,,USA,APF,2016-11-04,USA,ME,New England Powerlifting & Bench Press Championships
1112030,Coriann Guthrie,F,SBD,Single-ply,,,Girls,58.06,60.1,,,,,95.25,,,,,54.43,,,,,111.13,260.82,8,298.32,298.32,263.71,404.31,Yes,,THSWPA,2015-02-13,USA,TX,Longhorn Invitational
239723,Paul Hammond,M,B,Single-ply,,,M-E-M1,102.9,105,,,,,,175.0,190.0,-195.0,,190.0,,,,,,190.0,1,114.37,114.37,109.82,521.21,Yes,,EPA,2012-02-19,England,,North Midlands Divisional
1349085,Michelle Baque,F,SBD,Single-ply,17.5,18-19,Sub-Juniors,48.7,52,80.0,90.0,105.0,,105.0,32.5,37.5,42.5,,42.5,90.0,105.0,112.5,,112.5,260.0,1,340.68,361.12,302.95,432.51,Yes,Ecuador,FESUPO,2018-07-06,Ecuador,,Campeonato Sudamericano de Powerlifting y Bench Press
524668,Joey Haddad,M,SBD,Single-ply,,,Boys,89.99,99.7,,,,,170.1,,,,,124.74,,,,,206.38,501.22,5,319.99,319.99,308.37,414.43,Yes,,THSPA,2012-02-09,USA,TX,Clyde Powerlifting Meet
760574,Nick Toney,M,B,Raw,,,Class 1A,76.29,76.6,,,,,,,,,,147.42,,,,,,147.42,5,103.82,103.82,100.39,637.6,Yes,,FHSAA,2018-04-01,USA,FL,Boys Weightlifting State Championship
710642,Roberto Saenz,M,SBD,Raw,17.5,18-19,MR-O,59.0,59,170.0,-180.0,187.5,,187.5,100.0,-107.5,107.5,,107.5,185.0,200.0,205.0,,205.0,500.0,1,433.09,459.07,422.33,630.2,Yes,,USAPL,2018-10-20,USA,WI,Milwaukee Collegiate Cup
528385,Chris Garcia,M,SBD,Single-ply,,,Boys,89.81,89.8,,,,,181.44,,,,,106.59,,,,,208.65,496.68,4,317.42,317.42,305.9,411.65,Yes,USA,THSPA,2018-01-20,USA,TX,Splendora Invitational
437843,Chris Beltran,M,SBD,Single-ply,,,Boys,88.9,89.8,,,,,210.92,,,,,113.4,,,,,197.31,521.63,6,335.12,335.12,323.03,431.86,Yes,,THSPA,2018-02-08,USA,TX,TSS-UTSA Invitational 5
1277923,Jackie Starnes,F,SBD,Single-ply,,,Open,51.4,52,,,,,75.0,,,,,35.0,,,,,105.0,215.0,4,270.44,270.44,239.83,367.27,Yes,,BAWLA,1982-02-07,UK,,British Women's Powerlifting Championship
1288427,Onkar Sandhu,M,B,Single-ply,,,Sub-Juniors,67.9,75,,,,,,,,,,67.5,,,,,,67.5,1,51.8,51.8,50.24,345.68,Yes,,CPU,2005-04-07,Canada,AB,Nationals
761645,Jacob Caughell,M,B,Raw,,,Class 2A,105.96,107.9,,,,,,,,,,149.69,,,,,,,DQ,,,,,Yes,,FHSAA,2019-04-13,USA,FL,Boys Weightlifting State Championship
1073709,Amber Guzman,F,SBD,Single-ply,,,Girls,55.97,56,,,,,81.65,,,,,36.29,,,,,106.59,224.53,8,264.29,264.29,233.78,367.24,Yes,,THSWPA,2017-01-28,USA,TX,Dimmitt Powerlifting Meet
184477,Eriek Nickson,M,SBD,Single-ply,36.5,35-39,M-O,73.5,74,272.5,287.5,295.0,,295.0,190.0,-197.5,197.5,,197.5,295.0,-312.5,-317.5,,295.0,787.5,2,569.2,569.2,550.85,697.23,Yes,USA,USAPL,2012-06-22,USA,FL,Men's Nationals
156869,Luther Nzinga,M,SBD,Wraps,26.0,24-34,M_O_CR_ABPU,89.5,90,215.0,-225.0,-225.0,,215.0,135.0,140.0,142.5,,142.5,235.0,245.0,250.0,,250.0,607.5,1,388.93,388.93,374.85,575.0,Yes,UK,BPU,2018-03-17,England,,Northern Qualifier 2
930421,Nick Whiteford,M,SBD,Raw,,,Open,75.06,83,170.0,-182.5,-182.5,,170.0,130.0,135.0,-140.0,,135.0,210.0,230.0,235.0,,235.0,540.0,2,384.57,384.57,371.99,567.97,Yes,,NZPF,2013-11-16,New Zealand,WGN,Bledisbro Open
1069165,Kimberly Cordero,F,SBD,Single-ply,,,Girls,49.9,51.9,,,,,79.38,,,,,29.48,,,,,88.45,197.31,4,253.86,253.86,225.43,349.19,Yes,,THSWPA,2018-02-01,USA,TX,Darrell Piske Memorial
1209370,Snezhana Aksarova,F,SBD,Wraps,19.0,18-19,T3,42.4,44,52.5,57.5,62.5,,62.5,40.0,-45.0,45.0,,45.0,70.0,75.0,80.0,,80.0,187.5,1,270.44,281.26,243.68,374.46,,Russia,WPC,2013-08-15,Russia,,World Cup
860898,Mike Mobus,M,SBD,Raw,23.0,20-23,Open,85.8,90,,,,,245.0,,,,,172.5,,,,,255.0,672.5,1,440.4,440.4,424.84,663.83,,,USPA,2015-05-09,USA,NY,Western New York Powerlifting Championships
887958,Corrina McColl,F,SBD,Raw,22.0,20-23,Juniors 20-23,72.8,75,,,,,132.5,,,,,57.5,,,,,125.0,315.0,5,305.22,308.27,268.76,510.54,Yes,Australia,IPL,2018-11-08,USA,NV,Drug Tested World Championships
247365,Cesar Franco,M,SBD,Single-ply,,,Boys,58.51,59.8,,,,,142.88,,,,,68.04,,,,,147.42,358.34,1,312.81,312.81,305.16,408.88,Yes,,THSPA,2011-01-07,USA,TX,North Mesquite Stallion Invitational Power LIfting Meet
1286639,Paul Gidney,M,B,Single-ply,47.5,45-49,Masters 1,95.5,105,,,,,,,,,,180.0,,,,,,180.0,1,111.7,120.86,107.49,522.37,Yes,Canada,CPU,2011-03-29,Canada,PE,Canadian Benchpress Championship
445576,Carlos Jiminez,M,SBD,Single-ply,,,Boys,51.62,51.7,,,,,136.08,,,,,81.65,,,,,,,DQ,,,,,Yes,,THSPA,2014-03-08,USA,TX,Region 5 Division 1 Boys Regional Meet
518710,Kevin Phan,M,SBD,Single-ply,,,Boys,60.51,67.1,,,,,161.03,,,,,86.18,,,,,174.63,421.84,2,357.02,357.02,347.74,457.76,Yes,,THSPA,2018-01-27,USA,TX,Childress Powerlifting Meet
446842,Anthony Jones,M,SB,Single-ply,,,Boys,85.64,89.8,,,,,170.1,,,,,97.52,,,,,,,DQ,,,,,Yes,USA,THSPA,2014-01-18,USA,TX,Princeton Panther Invitational
10673,Stephan Szekulla,M,B,Raw,36.0,35-39,Open,80.3,83,,,,,,130.0,135.0,140.0,,140.0,,,,,,140.0,2,95.35,95.35,92.1,583.0,Yes,,BVDK,2018-11-10,Germany,HE,Hessische Meisterschaft im Bankdrücken
1169613,Cassie Villanueva,F,SBD,Single-ply,,,Girls,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,,THSWPA,2016-02-20,USA,TX,Irion County Girls Last Qualifier
854230,John DeLuca,M,SBD,Raw,47.0,45-49,Masters 45-49,98.4,100,,,,,217.5,,,,,157.5,,,,,215.0,590.0,1,361.44,391.07,347.53,522.76,,USA,USPA,2017-02-05,USA,CA,NASPOWER Heart Breaker Powerlifting Championship
1166609,Elena Zamora,F,SBD,Single-ply,,,Girls,74.89,75,,,,,154.22,,,,,72.57,,,,,149.69,376.48,7,358.23,358.23,315.13,487.56,Yes,,THSWPA,2015-03-07,USA,TX,Region 5 Regional Meet
153529,John Hjorth,M,SBD,Single-ply,,,Open,,125+,,,335.66,,335.66,,,210.92,,210.92,,,337.93,344.73,337.93,884.51,1,,,,,,,USPF,1984-03-03,USA,WA,Pacific Northwest Open
16355,Sebastian Heger,M,SBD,Single-ply,26.0,24-34,Open,90.95,93,285.0,,,,285.0,200.0,,,,200.0,235.0,,,,235.0,720.0,2,457.22,457.22,440.51,567.0,Yes,,BVDK,2019-03-02,Germany,BY,2. Runde Bayernliga Kraftdreikampf
1417464,Mahir Whitsett,M,SBD,Wraps,46.5,45-49,Pro Open,136.08,140,,,,,272.16,,,,,274.42,,,,,272.16,818.73,2,459.52,490.76,435.91,631.25,,,RPS,2018-11-11,USA,NJ,Autumn Apocalypse 8
1066493,Olivia McMath,F,SBD,Single-ply,,,Girls,65.86,67.3,,,,,111.13,,,,,61.23,,,,,104.33,276.69,4,287.48,287.48,253.7,403.73,Yes,,THSWPA,2017-02-09,USA,TX,Wills Point Meet
379465,Everett Stapleton,M,SBD,Single-ply,,,Boys,117.57,124.7,,,,,165.56,,,,,83.91,,,,,204.12,453.59,12,262.06,262.06,250.33,332.45,Yes,,THSPA,2019-01-12,USA,TX,Lindale Boys Invitational
993251,Petra Stehlíková,F,B,Single-ply,30.5,24-34,Open,66.3,67.5,,,,,,,,,,87.5,,,,,,87.5,1,90.47,90.47,79.83,519.29,Yes,Czechia,CSST,1997-11-01,Czechia,,Mistrovství ČR v Tlaku v Lehu Mužů a Žen
868701,Matt Moore,M,SBD,Wraps,29.0,24-34,Open,89.63,90,,,,,277.5,,,,,170.0,,,,,300.0,747.5,1,478.2,478.2,460.87,726.36,,,USPA,2013-07-12,USA,NV,National PL BP DL Championship
737207,Baxter Self,M,SBD,Raw,17.5,18-19,MR-V,92.1,93,185.0,195.0,-200.0,,195.0,137.5,145.0,150.0,,150.0,185.0,195.0,205.0,,205.0,550.0,8,347.12,367.95,334.33,502.85,Yes,,USAPL,2018-03-22,USA,WI,High School National Championships
1201279,Aleksey Limantsev,M,B,Raw,23.0,20-23,M-J,89.1,90,,,,,,-140.0,-140.0,,,,,,,,,,DQ,,,,,Yes,,WPC-RUS,2013-03-02,Russia,,Southern Federal District Championships
1206527,Denis Podgornyy,M,SBD,Multi-ply,30.0,24-34,O,75.0,75,240.0,260.0,,,260.0,172.5,182.5,-187.5,,182.5,240.0,-250.0,250.0,,250.0,692.5,3,493.45,493.45,477.32,612.84,,,WPC-RUS,2008-03-18,Russia,,Russian National Championships
702540,James West,M,SBD,Raw,70.5,70-74,MR-M4a,99.1,105,80.0,82.5,85.0,,85.0,57.5,60.0,62.5,,62.5,110.0,112.5,115.0,,115.0,262.5,1,160.34,263.76,154.14,184.53,Yes,,USAPL,2018-06-02,USA,KS,Kansas Heavy Metal Open
794832,Ellen Aaserud,F,SBD,Single-ply,24.5,24-34,Open,82.5,82.5,,,,,160.0,,,,,72.5,,,,,167.5,400.0,2,359.99,359.99,315.11,494.32,Yes,Norway,NordicPF,1996-09-06,Sweden,,Women's Nordic Powerlifting Championships
214742,Kassandra Huynh,F,SBD,Raw,22.5,20-23,Open,62.1,63,100.0,105.0,110.0,,110.0,52.5,-57.5,-57.5,,52.5,105.0,-110.0,-110.0,,105.0,267.5,1,290.44,290.44,256.51,462.03,Yes,,PA,2017-09-24,Australia,NSW,Hercules of the West
423216,Onterial Carter,M,SBD,Single-ply,,,Boys,158.67,124.7+,,,,,272.16,,,,,142.88,,,,,272.16,687.19,6,377.19,377.19,355.03,417.37,Yes,,THSPA,2015-03-07,USA,TX,Boys Region 4 Division 1 Championships
122491,N. Nagatsuka,M,SBD,Single-ply,,,Open,67.5,67.5,,,,,192.5,,,,,110.0,,,,,250.0,552.5,3,425.99,425.99,413.2,536.34,Yes,,JPA,1989-06-25,Japan,,Japanese Men's Nationals
567453,Arild Kittelsen,M,SBD,Single-ply,,,Masters 40-49,66.1,67.5,150.0,160.0,170.0,,170.0,-80.0,80.0,-90.0,,80.0,180.0,195.0,205.0,,205.0,455.0,1,356.82,356.82,346.34,459.45,Yes,,NSF,1991-02-16,Norway,,B/V-NM
178629,Robyn Miller,F,BD,Raw,39.0,35-39,Sub,54.93,56,,,,,,,,,,62.5,,,,,140.0,202.5,1,241.89,241.89,214.06,,Yes,,AAU,2017-09-15,USA,NV,World Powerlifting Championships
28626,Oleksiy Kokizyuk,M,SBD,Single-ply,21.5,20-23,Open,100.0,100,,,,,235.0,,,,,140.0,,,,,255.0,630.0,7,383.41,387.25,368.49,478.4,Yes,,UkrainePF,2001-06-02,Ukraine,,Kyev Open Powerlifting Championship
1164847,Brianna Cummings,F,SBD,Single-ply,,,Girls,72.85,75,,,,,154.22,,,,,65.77,,,,,127.01,347.0,4,336.07,336.07,295.93,462.23,Yes,,THSWPA,2014-02-26,USA,TX,Region 3 Girls Regionals
1270735,Andriy Avdeev,M,SBD,Raw,29.5,24-34,Pro Open,81.5,82.5,190.0,210.0,215.0,,215.0,130.0,140.0,145.0,,145.0,200.0,220.0,230.0,,230.0,590.0,3,398.17,398.17,384.49,592.6,,Ukraine,WPAU,2013-03-28,Ukraine,,Open Ukraine Championships
400946,Nathan Browning,M,SBD,Single-ply,,,Boys,56.02,59.8,,,,,95.25,,,,,58.97,,,,,92.99,247.21,3,224.97,224.97,219.98,313.42,Yes,,THSPA,2014-01-16,USA,TX,Big Spring Invitational
315676,Grant Bonnette,M,SBD,Single-ply,,,Boys,118.34,124.7,,,,,210.92,,,,,127.01,,,,,176.9,514.83,1,296.97,296.97,283.59,369.15,Yes,,THSPA,2012-01-13,USA,TX,The Woodlands High School Tri-Meet
22478,Amelia Krishna,F,SBD,Wraps,26.0,24-34,F-O,54.9,56,112.5,-120.0,-125.0,,112.5,42.5,47.5,-50.0,,47.5,115.0,-125.0,-125.0,,115.0,275.0,2,328.64,328.64,290.82,503.43,,,RhinoPC,2018-06-22,South Africa,,National Championships
124346,E. Robinson,M,SBD,Single-ply,,,Novice,75.0,75,,,,,127.5,,,,,90.0,,,,,147.5,365.0,6,260.08,260.08,251.58,352.17,,,USPF,1995-05-06,USA,OR,Pepsi Region 8
724860,Garmez Parks,M,SBD,Raw,50.5,50-54,MR-O,105.0,105,210.0,217.5,-222.5,,217.5,152.5,162.5,-167.5,,162.5,210.0,230.0,240.0,,240.0,620.0,2,370.48,418.65,355.5,531.75,Yes,USA,USAPL,2016-11-06,USA,IL,Chicago Raw Novice
827074,Judy Barnes,F,SBD,Raw,40.0,40-44,Masters 40-44,62.32,67.5,,,,,87.5,,,,,55.0,,,,,125.0,267.5,1,289.66,289.66,255.81,461.32,,,USPA,2014-04-26,USA,AZ,Southwest Desert Classic Powerlifting
817275,Kyle Meyers,M,SBD,Raw,32.0,24-34,Open,97.4,100,,,,,212.5,,,,,142.5,,,,,272.5,627.5,3,386.07,386.07,371.32,565.0,Yes,USA,USPA,2019-03-30,USA,NY,Drug Tested ROC Grand Prix
1103192,Caitlyin Coleman,F,SBD,Single-ply,,,Girls,50.8,51.9,,,,,,,,,,,,,,,,,DQ,,,,,Yes,,THSWPA,2019-01-24,USA,TX,Glen Rose Classic
772524,Amina Bernis,F,B,Raw,49.5,45-49,Masters 2,60.5,63,,,,,,-65.0,-65.0,-65.0,,,,,,,,,DQ,,,,,Yes,France,EPF,2018-08-09,France,,European Classic Bench Press Championships
1416048,Nate Henderson #1,M,SBD,Wraps,33.5,24-34,Amateur Open,165.83,140+,,,,,281.23,,,,,163.29,,,,,244.94,689.46,1,375.93,375.93,352.85,467.51,Yes,,RPS,2013-07-27,USA,PA,Raw Dawg National Championships
838284,Ryan Siggal,M,SBD,Wraps,24.0,24-34,Open,67.3,67.5,,,,,147.5,,,,,110.0,,,,,200.0,457.5,1,353.58,353.58,343.0,509.91,,,USPA,2015-08-22,USA,CA,Anaheim Fit Expo
214182,Warren O'Keeffe,M,SBD,Raw,28.5,24-34,Open,91.05,93,190.0,200.0,-207.5,,200.0,-120.0,120.0,130.0,,130.0,185.0,200.0,210.0,,210.0,540.0,2,342.73,342.73,330.19,495.94,Yes,,PA,2015-05-31,Australia,WA,Perth Open
630755,Dana Bungert,F,SBD,Wraps,22.0,20-23,F-J-R,55.0,56,72.5,-80.0,-82.5,,72.5,30.0,37.5,-47.5,,37.5,72.5,82.5,92.5,,92.5,202.5,1,241.65,244.07,213.84,362.27,,,APF,2014-07-26,USA,ND,ND Powerlifting Championships
957722,Galim Ismagilov,M,SBD,Single-ply,27.5,24-34,Open,103.3,110,,,,,347.5,,,,,232.5,,,,,352.5,932.5,1,560.49,560.49,538.13,670.21,Yes,,FPR,2003-01-24,Russia,,North-Western District Powerlifting Championships
816473,Britni Mitchell,F,SBD,Wraps,30.0,24-34,Open,54.5,56,,,,,97.5,,,,,57.5,,,,,142.5,297.5,1,357.57,357.57,316.48,549.18,,,USPA,2016-03-19,USA,MO,2nd Annual PowerBody Powerlifting Meet
